iter	Passed	Remaining
0	5	5334
1	11	5866
2	14	4909
3	18	4595
4	23	4712
5	27	4632
6	30	4335
7	32	4038
8	36	4056
9	39	3943
10	42	3819
11	45	3717
12	47	3590
13	50	3575
14	54	3567
15	56	3496
16	59	3418
17	61	3353
18	64	3351
19	67	3308
20	70	3292
21	73	3253
22	75	3202
23	78	3211
24	83	3249
25	85	3207
26	88	3195
27	91	3161
28	95	3210
29	99	3214
30	101	3185
31	104	3154
32	114	3352
33	117	3347
34	121	3336
35	126	3391
36	129	3367
37	132	3348
38	135	3344
39	138	3317
40	143	3348
41	145	3309
42	147	3277
43	149	3249
44	152	3234
45	156	3246
46	159	3225
47	162	3213
48	164	3188
49	166	3162
50	170	3180
51	173	3171
52	176	3152
53	179	3140
54	181	3123
55	185	3124
56	188	3122
57	191	3102
58	193	3090
59	196	3073
60	199	3075
61	202	3058
62	204	3044
63	206	3023
64	209	3010
65	211	2997
66	215	2997
67	219	3003
68	222	2997
69	225	2990
70	229	3003
71	232	2999
72	234	2982
73	238	2988
74	242	2994
75	248	3020
76	253	3037
77	256	3029
78	261	3046
79	265	3049
80	267	3029
81	270	3023
82	271	3003
83	278	3036
84	282	3037
85	284	3021
86	286	3007
87	292	3027
88	295	3026
89	299	3031
90	313	3129
91	317	3130
92	321	3131
93	325	3140
94	329	3134
95	332	3126
96	335	3119
97	339	3120
98	341	3109
99	344	3100
100	346	3085
101	350	3087
102	354	3090
103	356	3075
104	360	3075
105	363	3069
106	369	3086
107	371	3072
108	382	3129
109	386	3123
110	389	3116
111	394	3126
112	397	3117
113	399	3105
114	401	3091
115	403	3077
116	414	3125
117	417	3118
118	420	3114
119	426	3126
120	429	3119
121	432	3110
122	435	3103
123	441	3119
124	443	3104
125	446	3098
126	448	3086
127	454	3095
128	458	3098
129	460	3083
130	463	3076
131	468	3083
132	474	3092
133	476	3078
134	479	3069
135	482	3066
136	488	3074
137	490	3061
138	493	3057
139	500	3075
140	504	3072
141	506	3060
142	508	3050
143	512	3047
144	517	3050
145	521	3048
146	523	3036
147	527	3037
148	533	3045
149	535	3032
150	538	3029
151	540	3017
152	545	3019
153	548	3012
154	552	3009
155	554	2997
156	558	2999
157	561	2990
158	565	2988
159	567	2978
160	568	2963
161	574	2973
162	579	2974
163	581	2965
164	584	2960
165	590	2965
166	593	2959
167	596	2955
168	604	2973
169	608	2970
170	610	2961
171	612	2949
172	619	2960
173	622	2955
174	624	2944
175	627	2937
176	630	2933
177	633	2926
178	637	2921
179	639	2912
180	641	2903
181	643	2893
182	647	2890
183	651	2889
184	653	2878
185	655	2869
186	658	2861
187	662	2859
188	665	2855
189	669	2852
190	672	2847
191	675	2840
192	677	2834
193	680	2828
194	683	2821
195	686	2814
196	688	2805
197	691	2802
198	694	2795
199	697	2790
200	700	2782
201	702	2774
202	705	2771
203	708	2764
204	711	2757
205	712	2747
206	716	2744
207	718	2735
208	722	2733
209	724	2723
210	726	2718
211	729	2712
212	731	2702
213	733	2694
214	737	2691
215	740	2686
216	742	2679
217	744	2671
218	747	2665
219	751	2663
220	753	2656
221	756	2649
222	757	2640
223	759	2632
224	761	2623
225	764	2617
226	771	2627
227	774	2621
228	776	2612
229	777	2604
230	780	2597
231	783	2592
232	785	2586
233	787	2578
234	789	2570
235	791	2562
236	793	2553
237	796	2551
238	799	2545
239	801	2538
240	803	2530
241	806	2525
242	808	2518
243	812	2515
244	814	2510
245	816	2503
246	819	2497
247	821	2489
248	823	2482
249	826	2480
250	829	2474
251	831	2466
252	833	2459
253	836	2455
254	839	2452
255	841	2445
256	845	2443
257	847	2438
258	850	2432
259	853	2428
260	856	2424
261	858	2418
262	860	2411
263	862	2404
264	864	2396
265	865	2389
266	868	2385
267	871	2381
268	873	2374
269	875	2367
270	877	2360
271	879	2354
272	881	2347
273	884	2344
274	887	2339
275	888	2331
276	890	2324
277	892	2317
278	893	2309
279	895	2302
280	899	2300
281	902	2297
282	904	2290
283	906	2286
284	909	2282
285	911	2276
286	915	2273
287	917	2268
288	919	2262
289	921	2256
290	924	2252
291	928	2250
292	930	2246
293	933	2242
294	935	2235
295	937	2229
296	939	2223
297	944	2225
298	947	2221
299	949	2214
300	951	2209
301	953	2202
302	955	2196
303	959	2197
304	962	2193
305	964	2188
306	967	2183
307	969	2177
308	972	2175
309	975	2171
310	977	2166
311	979	2160
312	982	2155
313	984	2150
314	989	2151
315	992	2148
316	994	2143
317	996	2138
318	1000	2135
319	1004	2135
320	1009	2134
321	1011	2130
322	1014	2126
323	1020	2128
324	1024	2127
325	1029	2128
326	1032	2124
327	1050	2151
328	1054	2150
329	1056	2146
330	1059	2142
331	1064	2142
332	1068	2140
333	1071	2136
334	1074	2133
335	1078	2131
336	1083	2131
337	1085	2126
338	1088	2122
339	1094	2124
340	1098	2122
341	1100	2117
342	1102	2112
343	1104	2107
344	1110	2108
345	1114	2106
346	1117	2102
347	1120	2098
348	1123	2095
349	1127	2094
350	1129	2089
351	1132	2084
352	1137	2084
353	1140	2081
354	1144	2079
355	1147	2075
356	1149	2071
357	1155	2072
358	1159	2070
359	1163	2069
360	1166	2064
361	1172	2066
362	1175	2062
363	1177	2057
364	1181	2056
365	1185	2053
366	1189	2051
367	1191	2046
368	1194	2042
369	1196	2037
370	1203	2039
371	1205	2035
372	1209	2032
373	1214	2033
374	1218	2031
375	1221	2027
376	1224	2023
377	1229	2023
378	1236	2025
379	1240	2024
380	1244	2021
381	1247	2017
382	1250	2013
383	1253	2010
384	1256	2007
385	1261	2007
386	1264	2002
387	1266	1997
388	1269	1994
389	1276	1996
390	1281	1995
391	1288	1999
392	1298	2006
393	1309	2013
394	1312	2010
395	1317	2008
396	1332	2023
397	1338	2023
398	1341	2020
399	1352	2028
400	1359	2030
401	1366	2032
402	1369	2028
403	1372	2024
404	1379	2026
405	1382	2022
406	1387	2020
407	1397	2027
408	1400	2023
409	1405	2022
410	1408	2018
411	1411	2014
412	1413	2009
413	1416	2004
414	1419	2000
415	1422	1996
416	1424	1991
417	1427	1986
418	1429	1982
419	1431	1976
420	1436	1975
421	1439	1971
422	1443	1968
423	1446	1964
424	1450	1962
425	1454	1959
426	1458	1956
427	1460	1952
428	1463	1947
429	1469	1947
430	1472	1943
431	1475	1939
432	1477	1934
433	1481	1931
434	1485	1928
435	1488	1925
436	1491	1921
437	1494	1917
438	1497	1913
439	1500	1910
440	1502	1904
441	1505	1900
442	1507	1895
443	1512	1893
444	1516	1891
445	1519	1886
446	1521	1882
447	1524	1879
448	1531	1878
449	1534	1875
450	1538	1873
451	1543	1871
452	1548	1869
453	1550	1865
454	1557	1866
455	1562	1864
456	1566	1861
457	1569	1857
458	1575	1856
459	1578	1852
460	1581	1849
461	1584	1845
462	1590	1844
463	1593	1840
464	1596	1836
465	1602	1835
466	1605	1832
467	1609	1829
468	1613	1827
469	1620	1827
470	1623	1823
471	1627	1821
472	1636	1822
473	1642	1822
474	1648	1822
475	1652	1818
476	1657	1817
477	1661	1814
478	1666	1812
479	1668	1807
480	1671	1803
481	1677	1802
482	1682	1801
483	1684	1796
484	1687	1792
485	1693	1790
486	1696	1787
487	1699	1782
488	1702	1778
489	1705	1774
490	1709	1772
491	1714	1769
492	1716	1765
493	1719	1761
494	1723	1758
495	1727	1754
496	1729	1750
497	1732	1746
498	1737	1744
499	1740	1740
500	1743	1736
501	1745	1731
502	1748	1727
503	1752	1724
504	1759	1724
505	1762	1720
506	1764	1715
507	1772	1716
508	1775	1712
509	1778	1709
510	1781	1705
511	1784	1701
512	1787	1696
513	1790	1692
514	1792	1688
515	1795	1683
516	1798	1680
517	1800	1675
518	1803	1671
519	1805	1666
520	1807	1662
521	1810	1657
522	1813	1653
523	1815	1649
524	1818	1644
525	1819	1639
526	1821	1635
527	1823	1630
528	1826	1626
529	1829	1622
530	1831	1617
531	1833	1613
532	1836	1608
533	1838	1604
534	1840	1599
535	1843	1595
536	1846	1591
537	1848	1587
538	1850	1583
539	1852	1578
540	1854	1573
541	1857	1569
542	1860	1566
543	1862	1561
544	1864	1556
545	1866	1552
546	1869	1548
547	1872	1544
548	1875	1540
549	1878	1536
550	1884	1535
551	1888	1533
552	1892	1529
553	1894	1525
554	1897	1521
555	1899	1516
556	1902	1513
557	1905	1509
558	1907	1504
559	1909	1500
560	1911	1496
561	1914	1492
562	1917	1488
563	1919	1484
564	1922	1479
565	1924	1475
566	1926	1471
567	1929	1467
568	1932	1463
569	1934	1459
570	1937	1455
571	1939	1451
572	1941	1447
573	1946	1444
574	1949	1441
575	1951	1436
576	1953	1432
577	1955	1427
578	1957	1423
579	1963	1421
580	1967	1419
581	1971	1415
582	1973	1411
583	1976	1408
584	1978	1403
585	1981	1400
586	1983	1395
587	1986	1391
588	1988	1387
589	1991	1384
590	1995	1380
591	1997	1376
592	1999	1372
593	2001	1368
594	2005	1365
595	2008	1361
596	2010	1357
597	2012	1352
598	2014	1348
599	2016	1344
600	2017	1339
601	2020	1335
602	2023	1332
603	2025	1327
604	2027	1323
605	2030	1319
606	2032	1315
607	2037	1313
608	2040	1310
609	2043	1306
610	2045	1302
611	2048	1298
612	2051	1295
613	2054	1291
614	2058	1288
615	2061	1285
616	2065	1282
617	2068	1278
618	2070	1274
619	2073	1270
620	2075	1266
621	2076	1262
622	2080	1258
623	2082	1254
624	2085	1251
625	2087	1246
626	2089	1242
627	2092	1239
628	2095	1235
629	2097	1231
630	2099	1227
631	2101	1223
632	2103	1219
633	2105	1215
634	2106	1211
635	2109	1207
636	2112	1203
637	2114	1199
638	2117	1196
639	2119	1192
640	2121	1187
641	2124	1184
642	2128	1181
643	2133	1179
644	2135	1175
645	2140	1173
646	2144	1169
647	2146	1166
648	2151	1163
649	2155	1160
650	2158	1157
651	2160	1153
652	2162	1149
653	2165	1145
654	2168	1142
655	2171	1138
656	2174	1135
657	2175	1130
658	2177	1126
659	2179	1122
660	2181	1118
661	2185	1115
662	2188	1112
663	2190	1108
664	2192	1104
665	2194	1100
666	2196	1096
667	2201	1094
668	2203	1090
669	2206	1086
670	2208	1082
671	2211	1079
672	2214	1075
673	2216	1072
674	2219	1068
675	2221	1064
676	2223	1060
677	2225	1056
678	2228	1053
679	2232	1050
680	2235	1047
681	2238	1043
682	2247	1043
683	2249	1039
684	2252	1035
685	2256	1032
686	2261	1030
687	2263	1026
688	2267	1023
689	2270	1019
690	2271	1015
691	2276	1013
692	2278	1009
693	2280	1005
694	2283	1002
695	2285	998
696	2289	995
697	2292	992
698	2294	988
699	2296	984
700	2298	980
701	2307	979
702	2310	976
703	2312	972
704	2314	968
705	2319	966
706	2322	962
707	2324	958
708	2326	955
709	2330	951
710	2336	949
711	2339	946
712	2342	942
713	2346	939
714	2352	937
715	2355	934
716	2357	930
717	2359	926
718	2361	922
719	2364	919
720	2366	915
721	2369	912
722	2371	908
723	2372	904
724	2375	900
725	2376	897
726	2379	893
727	2381	889
728	2385	886
729	2387	883
730	2389	879
731	2391	875
732	2396	872
733	2399	869
734	2400	865
735	2403	862
736	2405	858
737	2410	855
738	2413	852
739	2415	848
740	2417	844
741	2418	841
742	2421	837
743	2425	834
744	2428	831
745	2431	827
746	2433	824
747	2436	820
748	2439	817
749	2443	814
750	2445	810
751	2447	807
752	2450	803
753	2451	799
754	2456	797
755	2458	793
756	2461	789
757	2463	786
758	2465	782
759	2466	779
760	2470	775
761	2471	772
762	2474	768
763	2476	764
764	2478	761
765	2480	757
766	2482	754
767	2485	750
768	2486	746
769	2488	743
770	2490	739
771	2492	736
772	2494	732
773	2495	728
774	2499	725
775	2503	722
776	2506	719
777	2510	716
778	2512	712
779	2515	709
780	2519	706
781	2520	702
782	2522	699
783	2525	695
784	2527	692
785	2530	689
786	2532	685
787	2534	681
788	2536	678
789	2538	674
790	2539	671
791	2541	667
792	2544	664
793	2547	660
794	2548	657
795	2550	653
796	2551	650
797	2553	646
798	2555	642
799	2561	640
800	2564	637
801	2567	633
802	2569	630
803	2579	628
804	2583	625
805	2586	622
806	2592	619
807	2596	616
808	2598	613
809	2602	610
810	2610	608
811	2614	605
812	2617	601
813	2623	599
814	2625	595
815	2627	592
816	2629	589
817	2632	585
818	2636	582
819	2639	579
820	2641	575
821	2642	572
822	2644	568
823	2646	565
824	2647	561
825	2650	558
826	2652	554
827	2655	551
828	2657	548
829	2659	544
830	2661	541
831	2663	537
832	2668	534
833	2670	531
834	2671	527
835	2674	524
836	2675	521
837	2677	517
838	2678	513
839	2681	510
840	2684	507
841	2685	504
842	2687	500
843	2689	497
844	2690	493
845	2692	490
846	2693	486
847	2697	483
848	2701	480
849	2703	477
850	2704	473
851	2706	470
852	2708	466
853	2716	464
854	2718	461
855	2721	457
856	2724	454
857	2727	451
858	2731	448
859	2733	445
860	2735	441
861	2738	438
862	2741	435
863	2744	431
864	2746	428
865	2748	425
866	2749	421
867	2751	418
868	2752	415
869	2754	411
870	2758	408
871	2761	405
872	2762	401
873	2765	398
874	2766	395
875	2768	391
876	2771	388
877	2774	385
878	2776	382
879	2778	378
880	2779	375
881	2781	372
882	2783	368
883	2786	365
884	2789	362
885	2792	359
886	2793	355
887	2795	352
888	2797	349
889	2799	345
890	2807	343
891	2810	340
892	2812	337
893	2815	333
894	2818	330
895	2821	327
896	2824	324
897	2826	321
898	2828	317
899	2830	314
900	2833	311
901	2835	308
902	2837	304
903	2839	301
904	2841	298
905	2843	294
906	2844	291
907	2849	288
908	2852	285
909	2854	282
910	2857	279
911	2859	275
912	2861	272
913	2864	269
914	2867	266
915	2869	263
916	2872	260
917	2874	256
918	2877	253
919	2878	250
920	2882	247
921	2884	243
922	2885	240
923	2887	237
924	2888	234
925	2892	231
926	2895	228
927	2897	224
928	2899	221
929	2901	218
930	2904	215
931	2907	212
932	2909	208
933	2912	205
934	2913	202
935	2915	199
936	2917	196
937	2919	192
938	2922	189
939	2925	186
940	2927	183
941	2928	180
942	2930	177
943	2932	173
944	2933	170
945	2937	167
946	2938	164
947	2940	161
948	2942	158
949	2944	154
950	2946	151
951	2947	148
952	2951	145
953	2955	142
954	2957	139
955	2958	136
956	2960	133
957	2962	129
958	2967	126
959	2970	123
960	2974	120
961	2979	117
962	2983	114
963	2987	111
964	2990	108
965	2992	105
966	2995	102
967	3000	99
968	3002	96
969	3004	92
970	3006	89
971	3008	86
972	3012	83
973	3014	80
974	3017	77
975	3019	74
976	3021	71
977	3023	68
978	3028	64
979	3030	61
980	3032	58
981	3036	55
982	3038	52
983	3043	49
984	3045	46
985	3047	43
986	3049	40
987	3051	37
988	3053	33
989	3058	30
990	3060	27
991	3062	24
992	3064	21
993	3066	18
994	3067	15
995	3069	12
996	3075	9
997	3077	6
998	3079	3
999	3081	0
